"Laporan Histori Pemakaian Kuota & Bandwidth MikroTik"
Periode,"21 Aug 2026 s/d 27 Aug 2026"
"Generated At","2026-08-27 16:09:19"

Username,Profile,Status,Sesi,"Total Uptime","Upload (Bytes)","Download (Bytes)","Total Pemakaian (Bytes)","Total Pemakaian (Readable)"
ijan,DUO,Online,3,"18 mnt",31302935,232078525,263381460,"251.2 MB"
susilawati,TRIO,Online,3,"18 mnt",70418688,101271436,171690124,"163.7 MB"
rosita,DUO,Online,3,"17 mnt",13517867,117814121,131331988,"125.2 MB"
idenk,QUARTET,Online,3,"36 mnt",58519814,54810608,113330422,"108.1 MB"
satria,SOLO,Online,3,"9 mnt",43593733,53144360,96738093,"92.3 MB"
dimas,QUARTET,Online,3,"36 mnt",49086224,43366098,92452322,"88.2 MB"
suji,DUO,Online,3,"9 mnt",22195498,61315066,83510564,"79.6 MB"
tatan,SOLO,Online,3,"9 mnt",32541187,27997084,60538271,"57.7 MB"
ela,SOLO,Online,3,"9 mnt",21015963,26505610,47521573,"45.3 MB"
vira,SOLO,Online,3,"9 mnt",16446416,17101258,33547674,"32 MB"
ujil123,DUO,Online,3,"18 mnt",7843199,8014267,15857466,"15.1 MB"
mn32,SOLO,Online,3,"1 mnt",8132756,7254363,15387119,"14.7 MB"
keluarga,QUARTET,Online,2,"8 mnt",3408166,4429940,7838106,"7.5 MB"
ega123,SOLO,Offline,2,"8 mnt",3222132,2002547,5224679,"5 MB"
suji2,SOLO,Online,2,"9 mnt",2159353,1699839,3859192,"3.7 MB"
